,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
0,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,4,"(4,464)"
1,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
2,OPPO,OPPO Enco Buds3,54,"₹3,499","₹1,499",57%,4.3,"(4,05,630)"
3,boAt,"boAt Airdopes 161/163,ASAP",40,"₹2,490",₹799,67%,4,"(14,48,951)"
4,OnePlus,OnePlus Nord Buds,,"₹2,299","₹1,519",33%,4.4,"(3,21,130)"
5,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
6,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
7,realme,realme Buds T110,38,"₹2,999","₹1,299",56%,4.2,"(4,06,007)"
8,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4.1,"(2,10,839)"
9,CMF,CMF by Nothing,,"₹2,499","₹1,899",24%,4.3,"(67,152)"
10,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4,"(12,267)"
11,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,4,"(82,529)"
12,GOBOULT,GOBOULT Z40 Pro,100,"₹5,499","₹1,099",80%,4.1,"(1,69,005)"
13,Mi,Mi Buds 5,,"₹4,999","₹1,499",70%,4,"(16,069)"
14,realme,realme Buds T200,48,"₹1,999","₹1,399",30%,4.2,"(4,06,007)"
15,Noise,Noise Buds VS102,70,"₹3,999","₹1,499",62%,3.8,"(1,22,752)"
16,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
17,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
18,boAt,"boAt Airdopes Alpha,35H",35,"₹3,490",₹799,77%,4,"(6,84,165)"
19,Mivi,Mivi Duopods B1,45,"₹2,999",₹699,76%,4.1,"(34,145)"
20,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,4.1,"(12,069)"
21,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(6,68,128)"
22,MOTOROLA,MOTOROLA Moto Buds,,"₹4,999","₹1,999",60%,4.2,"(11,439)"
23,realme,realme Buds T200,48,"₹1,999","₹1,399",30%,4.2,"(4,06,007)"
24,Noise,"Noise Buds UNO,",40,"₹3,499","₹1,199",65%,4.1,"(14,951)"
25,Noise,Noise Buds MVP102,60,"₹2,999","₹1,099",63%,3.8,"(10,324)"
26,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4.1,"(2,10,839)"
27,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,"(42,234)"
28,realme,realme Buds T200,48,"₹1,999","₹1,399",30%,4.2,"(4,06,007)"
29,GOBOULT,GOBOULT Z40 Pro,100,"₹5,499","₹1,099",80%,4.1,"(1,69,005)"
30,Noise,Noise Buds VS102,70,"₹3,999","₹1,499",62%,3.8,"(1,22,752)"
31,boAt,boAt Airdopes 181,100,"₹4,990","₹1,099",77%,4,"(1,06,270)"
32,Noise,"Noise Buds UNO,",40,"₹3,499","₹1,199",65%,4.1,"(14,951)"
33,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
34,Noise,Noise Buds VS102,40,"₹3,499",₹799,77%,4.1,"(1,26,966)"
35,boAt,boAt Airdopes Supreme,50,"₹5,990","₹1,299",78%,4.1,"(1,74,192)"
36,CMF,CMF by Nothing,,"₹2,499","₹1,899",24%,4.3,"(67,152)"
37,OnePlus,OnePlus Nord Buds,,"₹2,299","₹1,599",30%,4.4,"(3,21,130)"
38,boAt,"boAt Airdopes 161,",50,"₹2,999",₹899,70%,3.9,"(57,164)"
39,Mi,"Mi Buds 5A,",30,"₹2,999","₹1,299",56%,4,"(16,069)"
40,,,,,₹599,70%,4,
41,,,,,₹799,67%,5,
42,,,,,"₹1,499",57%,5,
43,,,,,"₹1,299",62%,4,
44,,,,,"₹1,299",78%,4,
